"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "CSS", "XML", "Markdown", "JavaScript", "Properties", "HTML", "comment", "blank", "total"
"c:\abtik digital react\abtik-digital fn\src\layout\Mainlayout.tsx", "TypeScript JSX", 0, 0, 0, 315, 0, 0, 0, 0, 0, 0, 3, 16, 334
"c:\abtik digital react\abtik-digital fn\src\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\abtik digital react\abtik-digital fn\src\main.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\abtik digital react\abtik-digital fn\src\pages\AboutUs.tsx", "TypeScript JSX", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 95, 14, 213
"c:\abtik digital react\abtik-digital fn\src\pages\AnimatedLine.tsx", "TypeScript JSX", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 6, 10, 83
"c:\abtik digital react\abtik-digital fn\src\pages\Blog.tsx", "TypeScript JSX", 0, 0, 0, 282, 0, 0, 0, 0, 0, 0, 2, 14, 298
"c:\abtik digital react\abtik-digital fn\src\pages\Career.tsx", "TypeScript JSX", 0, 0, 0, 552, 0, 0, 0, 0, 0, 0, 3, 26, 581
"c:\abtik digital react\abtik-digital fn\src\pages\ClientStats.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 10, 81
"c:\abtik digital react\abtik-digital fn\src\pages\ContactUs.tsx", "TypeScript JSX", 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 10, 11, 232
"c:\abtik digital react\abtik-digital fn\src\pages\DigitalMarketingService.tsx", "TypeScript JSX", 0, 0, 0, 198, 0, 0, 0, 0, 0, 0, 12, 9, 219
"c:\abtik digital react\abtik-digital fn\src\pages\Events.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\abtik digital react\abtik-digital fn\src\pages\ExpandedBlog.tsx", "TypeScript JSX", 0, 0, 0, 278, 0, 0, 0, 0, 0, 0, 3, 15, 296
"c:\abtik digital react\abtik-digital fn\src\pages\Faq.tsx", "TypeScript JSX", 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 12, 129
"c:\abtik digital react\abtik-digital fn\src\pages\Home.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 3, 29
"c:\abtik digital react\abtik-digital fn\src\pages\Loader.tsx", "TypeScript JSX", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 8, 44
"c:\abtik digital react\abtik-digital fn\src\pages\NotFound.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\abtik digital react\abtik-digital fn\src\pages\Partner.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 46, 6, 86
"c:\abtik digital react\abtik-digital fn\src\pages\PrivacyPolicy.tsx", "TypeScript JSX", 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 5, 146
"c:\abtik digital react\abtik-digital fn\src\pages\Protfolio.tsx", "TypeScript JSX", 0, 0, 0, 480, 0, 0, 0, 0, 0, 0, 12, 16, 508
"c:\abtik digital react\abtik-digital fn\src\pages\SeoService.tsx", "TypeScript JSX", 0, 0, 0, 194, 0, 0, 0, 0, 0, 0, 7, 11, 212
"c:\abtik digital react\abtik-digital fn\src\pages\Service.tsx", "TypeScript JSX", 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 2, 11, 181
"c:\abtik digital react\abtik-digital fn\src\pages\Services.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 4, 25
"c:\abtik digital react\abtik-digital fn\src\pages\SwiperCaraousal.tsx", "TypeScript JSX", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 4, 15, 138
"c:\abtik digital react\abtik-digital fn\src\pages\Technologies.tsx", "TypeScript JSX", 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 6, 11, 190
"c:\abtik digital react\abtik-digital fn\src\pages\Test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\abtik digital react\abtik-digital fn\src\pages\Testimonial.tsx", "TypeScript JSX", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 1, 7, 77
"c:\abtik digital react\abtik-digital fn\src\pages\UIUXService.tsx", "TypeScript JSX", 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 8, 8, 211
"c:\abtik digital react\abtik-digital fn\src\pages\WebDevelopmentService.tsx", "TypeScript JSX", 0, 0, 0, 316, 0, 0, 0, 0, 0, 0, 13, 15, 344
"c:\abtik digital react\abtik-digital fn\src\reducers\reducer.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 6, 30
"c:\abtik digital react\abtik-digital fn\src\section\Contact.tsx", "TypeScript JSX", 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 3, 9, 129
"c:\abtik digital react\abtik-digital fn\src\section\Copyright.tsx", "TypeScript JSX", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\abtik digital react\abtik-digital fn\src\section\Footer.tsx", "TypeScript JSX", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 9, 12, 185
"c:\abtik digital react\abtik-digital fn\src\section\Hero.tsx", "TypeScript JSX", 0, 0, 0, 321, 0, 0, 0, 0, 0, 0, 402, 93, 816
"c:\abtik digital react\abtik-digital fn\src\section\HeroSection1.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 9, 73
"c:\abtik digital react\abtik-digital fn\src\section\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 194, 0, 0, 0, 0, 0, 0, 6, 15, 215
"c:\abtik digital react\abtik-digital fn\src\store\store.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\abtik digital react\abtik-digital fn\src\styles\AboutUs.css", "CSS", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 17, 17, 120
"c:\abtik digital react\abtik-digital fn\src\styles\ClientStats.css", "CSS", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 2, 13
"c:\abtik digital react\abtik-digital fn\src\styles\Contact.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\abtik digital react\abtik-digital fn\src\styles\Faq.css", "CSS", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 5, 10, 64
"c:\abtik digital react\abtik-digital fn\src\styles\Footer.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 1, 124
"c:\abtik digital react\abtik-digital fn\src\styles\Header.css", "CSS", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 84, 4, 141
"c:\abtik digital react\abtik-digital fn\src\styles\HeroSection.css", "CSS", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 3, 16, 111
"c:\abtik digital react\abtik-digital fn\src\styles\Loader.css", "CSS", 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 3, 19, 123
"c:\abtik digital react\abtik-digital fn\src\styles\Navbar.css", "CSS", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"c:\abtik digital react\abtik-digital fn\src\styles\Partner.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\abtik digital react\abtik-digital fn\src\styles\Service.css", "CSS", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 4, 10, 80
"c:\abtik digital react\abtik-digital fn\src\styles\Swiper.css", "CSS", 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 2, 15, 128
"c:\abtik digital react\abtik-digital fn\src\styles\Technologies.css", "CSS", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 4, 5, 53
"c:\abtik digital react\abtik-digital fn\src\styles\Test.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\abtik digital react\abtik-digital fn\src\styles\Testimonial.css", "CSS", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 4, 30
"c:\abtik digital react\abtik-digital fn\src\utils\ScrollToTop.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\abtik digital react\abtik-digital fn\src\utils\ServiceHelperComponent.tsx", "TypeScript JSX", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 10, 85
"c:\abtik digital react\abtik-digital fn\src\utils\ThreeejsAnimation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\abtik digital react\abtik-digital fn\src\utils\withDelay.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\abtik digital react\abtik-digital fn\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\abtik digital react\abtik-digital fn\tsconfig.app.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\abtik digital react\abtik-digital fn\tsconfig.json", "JSON with Comments", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\abtik digital react\abtik-digital fn\tsconfig.node.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"c:\abtik digital react\abtik-digital fn\vite.config.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 3, 18
"Total", "-", 17, 6872, 42, 6125, 672, 124, 45, 27, 1, 32, 993, 721, 15671
